official_name,osm_street_name,match_key,zone_numbers,tariff_zone,price_label,time_rules,stall_count,source,source_confidence
VIA ASIAGO,Via Asiago,viaasiago,19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,51,amts_piano_generale_sosta,0.82
VIA ASILO S. AGATA,Via Asilo Sant'Agata,viaasilosantagata,18;19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,30,amts_piano_generale_sosta,0.82
VIA ASMARA,Via Asmara,viaasmara,8,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,5,amts_piano_generale_sosta,0.82
VIA BALDUINO,Via Balduino,viabalduino,17,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,30,amts_piano_generale_sosta,0.82
VIA BEATO BERNARDO,Via Beato Bernardo,viabeatobernardo,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,30,amts_piano_generale_sosta,0.82
VIA BOLOGNA,Via Bologna,viabologna,18,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,7,amts_piano_generale_sosta,0.82
VIA CAGLIARI,Via Cagliari,viacagliari,17,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,53,amts_piano_generale_sosta,0.82
VIA CALATAFIMI,Via Calatafimi,viacalatafimi,20,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,25,amts_piano_generale_sosta,0.82
VIA CALTANISSETTA,Via Caltanissetta,viacaltanissetta,20,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,9,amts_piano_generale_sosta,0.82
VIA CANCELLIERE,Via Cancelliere,viacancelliere,15,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,8,amts_piano_generale_sosta,0.82
